COLS_NATURE;RA_CODE;idCols;COLS_CODE;COLS_DATAMART;COLS_FILTRE_DOMAINE;DIM_VAL_CODE;idObjet;FILTRE_TAB;FILTRE_CHA;FILTRE_VAL;FILTRE_SENS
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;TEMPS;P02;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;PERD_ARRT_INFO;[M12N1];INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MESURE;M001;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;MT_ENCR_MENS;;INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;D02;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_SAL;INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;D02;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EPAR_BIL;INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;D01.3;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_EQUIP;INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;D01.2;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_CONSO;INCLURE
SOURCE;ra01016;28;C05;vw_CUBE_DPLT_ICARE_BPCE_ENCR;DIMENSION;D01.4;1;vw_CUBE_DPLT_ICARE_BPCE_ENCR;CODE_NIV3_ICARE;3_ETU;INCLURE
