idLigne;idObjet;TDB;PAGE;OBJET;DAR_REF;PERD;RA_CODE;COLS_CODE;ROWS_CODE;SQL_CODE_SRC;SQL_CODE_FINAL;PERIMETRE;DATE_TRT
0;1;BARO_BDD_CE;Epargne;tb1;202111;[M12N1];ra01016;c05;R101;SELECT '[p_DAR_REF]' AS DAR,'[p_objet]' AS idObjet,'[p_RA]' AS RA,'[p_COL]' AS COL,'[p_ROW]' AS ROW,'[p_PERD]' AS PERD,Sum([VALR_INDC]) AS VAL FROM [p_CUBE] WHERE CODE_INDC = [p_INDI] GROUP BY '[p_DAR_REF]','[p_objet]','[p_RA]','[p_COL]' ,'[p_ROW]' ,'[p_PERD]';SELECT '202111' AS DAR,'1' AS idObjet,'ra01016' AS RA,'c05' AS COL,'R101' AS ROW,'[M12N1]' AS PERD,Sum([VALR_INDC]) AS VAL FROM vw_CUBE_DPLT_ICARE_BPCE_ENCR WHERE CODE_INDC = MT_ENCR_MENS  AND PERD_ARRT_INFO = 202012 AND CODE_NIV3_ICARE IN ('3_EPAR_SAL','3_EPAR_BIL','3_EQUIP','3_CONSO','3_ETU') AND CODE_ORGN_FINN IN ('99999') GROUP BY '202111','1','ra01016','c05' ,'R101' ,'[M12N1]';SOURCE;2024-05-13 18:36:01.548630
1;1;BARO_BDD_CE;Epargne;tb1;202111;[M12N1];ra01016;c05;R10;SELECT '[p_DAR_REF]' AS DAR,'[p_objet]' AS idObjet,'[p_RA]' AS RA,'[p_COL]' AS COL,'[p_ROW]' AS ROW,'[p_PERD]' AS PERD,Sum([VALR_INDC]) AS VAL FROM [p_CUBE] WHERE CODE_INDC = [p_INDI] GROUP BY '[p_DAR_REF]','[p_objet]','[p_RA]','[p_COL]' ,'[p_ROW]' ,'[p_PERD]';SELECT '202111' AS DAR,'1' AS idObjet,'ra01016' AS RA,'c05' AS COL,'R10' AS ROW,'[M12N1]' AS PERD,Sum([VALR_INDC]) AS VAL FROM vw_CUBE_DPLT_ICARE_BPCE_ENCR WHERE CODE_INDC = MT_ENCR_MENS  AND PERD_ARRT_INFO = 202012 AND CODE_NIV3_ICARE IN ('3_EPAR_SAL','3_EPAR_BIL','3_EQUIP','3_CONSO','3_ETU') AND CODE_ORGN_FINN IN ('14015','11111') GROUP BY '202111','1','ra01016','c05' ,'R10' ,'[M12N1]';SOURCE;2024-05-13 18:36:01.578729
